FIPS,STNAME,CTYNAME,CENSUS1900POP,CENSUS1910POP,CENSUS1920POP,CENSUS1930POP,CENSUS1940POP,CENSUS1950POP,CENSUS1960POP,CENSUS1970POP,CENSUS1980POP,CENSUS1990POP,CENSUS2000POP,CENSUS2010POP,POPESTIMATE2015,CBSA Code,Metropolitan Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,Central/Outlying County
01001,Alabama,Autauga County,17915,20038,18908,19694,20977,18186,18739,24460,32259,34222,43671,54571,54864,33860,,388,"Montgomery, AL",Metropolitan Statistical Area,,"Montgomery-Selma-Alexander City, AL",Central
01003,Alabama,Baldwin County,13194,18178,20730,28289,32324,40997,49088,59382,78556,98280,140415,182265,202939,19300,,380,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,,"Mobile-Daphne-Fairhope, AL",Central
01005,Alabama,Barbour County,35152,32728,32067,32425,32722,28892,24700,22543,24756,25417,29038,27457,26283,21640,,,"Eufaula, AL-GA",Micropolitan Statistical Area,,,Central
01007,Alabama,Bibb County,18498,22791,23144,20780,20155,17987,14357,13812,15723,16576,20826,22915,22566,13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Outlying
01009,Alabama,Blount County,23119,21456,25538,28020,29490,28975,25449,26853,36459,39248,51024,57322,57526,13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Outlying
01011,Alabama,Bullock County,31944,30196,25333,20016,19810,16054,13462,11824,10596,11042,11714,10914,10400,,,,,,,,
01013,Alabama,Butler County,25761,29030,29531,30195,32447,29228,24560,22007,21680,21892,21399,20947,20162,,,,,,,,
01015,Alabama,Calhoun County,34874,39115,47822,55611,63319,79539,95878,103092,119761,116034,112249,118572,115469,11500,,,"Anniston-Oxford, AL",Metropolitan Statistical Area,,,Central
01017,Alabama,Chambers County,32554,36056,41201,39313,42146,39528,37828,36356,39191,36876,36583,34215,33996,29300,,122,"LaGrange, GA-AL",Micropolitan Statistical Area,,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Outlying
01019,Alabama,Cherokee County,21096,20226,20862,20219,19928,17634,16303,15606,18760,19543,23988,25989,25732,,,,,,,,
01021,Alabama,Chilton County,16522,23187,22770,24579,27955,26922,25693,25180,30612,32458,39593,43643,43700,13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Outlying
01023,Alabama,Choctaw County,18136,18483,20753,20513,20195,19152,17870,16589,16839,16018,15922,13859,13231,,,,,,,,
01025,Alabama,Clarke County,27790,30987,26409,26016,27636,26548,25738,26724,27702,27240,27867,25833,24698,,,,,,,,
01027,Alabama,Clay County,17099,21006,22645,17768,16907,13929,12400,12636,13703,13252,14254,13932,13415,,,,,,,,
01029,Alabama,Cleburne County,13206,13385,13360,12877,13629,11904,10911,10996,12595,12730,14123,14972,14914,,,,,,,,
01031,Alabama,Coffee County,20972,26119,30070,32556,31987,30720,30583,34872,38533,40240,43615,49948,50963,21460,,,"Enterprise, AL",Micropolitan Statistical Area,,,Central
01033,Alabama,Colbert County,22341,24802,31997,29860,34093,39561,46506,49632,54519,51666,54984,54428,54417,22520,,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,,,Central
01035,Alabama,Conecuh County,17514,21433,24593,25429,25489,21776,17762,15645,15884,14054,14089,13228,12678,,,,,,,,
01037,Alabama,Coosa County,16144,16634,14839,12460,13460,11766,10726,10662,11377,11063,12202,11539,10934,10760,,388,"Alexander City, AL",Micropolitan Statistical Area,,"Montgomery-Selma-Alexander City, AL",Outlying
01039,Alabama,Covington County,15346,32124,38103,41356,42417,40373,35631,34079,36850,36478,37631,37765,37556,,,,,,,,
01041,Alabama,Crenshaw County,19668,23313,23017,23656,23631,18981,14909,13188,14110,13635,13665,13906,13850,,,,,,,,
01043,Alabama,Cullman County,17849,28321,33034,41051,47343,49046,45572,52445,61642,67613,77483,80406,81761,18980,,142,"Cullman, AL",Micropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Central
01045,Alabama,Dale County,21189,21608,22711,23175,22685,20828,31066,52938,47821,49633,49129,50251,49365,37120,,222,"Ozark, AL",Micropolitan Statistical Area,,"Dothan-Ozark, AL",Central
01047,Alabama,Dallas County,54657,53401,54697,55094,55245,56270,56667,55296,53981,48130,46365,43820,40936,42820,,388,"Selma, AL",Micropolitan Statistical Area,,"Montgomery-Selma-Alexander City, AL",Central
01049,Alabama,DeKalb County,23558,28261,34426,40104,43075,45048,41417,41981,53658,54651,64452,71109,71087,22840,,497,"Fort Payne, AL",Micropolitan Statistical Area,,"Scottsboro-Fort Payne, AL",Central
01051,Alabama,Elmore County,26099,28245,28085,34280,34546,31649,30524,33535,43390,49210,65874,79303,80872,33860,,388,"Montgomery, AL",Metropolitan Statistical Area,,"Montgomery-Selma-Alexander City, AL",Central
01053,Alabama,Escambia County,11320,18889,22464,27963,30671,31443,33511,34906,38440,35518,38440,38319,37661,12120,,426,"Atmore, AL",Micropolitan Statistical Area,,"Pensacola-Ferry Pass, FL-AL",Central
01055,Alabama,Etowah County,27361,39109,47275,63399,72580,93892,96980,94144,103057,99840,103459,104430,102998,23460,,,"Gadsden, AL",Metropolitan Statistical Area,,,Central
01057,Alabama,Fayette County,14132,16248,18365,18443,21651,19388,16148,16252,18809,17962,18495,17241,16696,,,,,,,,
01059,Alabama,Franklin County,16511,19369,22011,25372,27552,25705,21988,23933,28350,27814,31223,31704,31515,,,,,,,,
